Siruta,Localitate,Venituri,Cheltuieli
57902,Gilau,425533,841275
57948,Garbau,429277,810730
58008,Iara,558992,834297
58142,Iclod,426928,843968
58204,Izvoru Crisului,430672,813423
58259,Jucu,560387,836990
58311,Luna,428323,846661
58357,Maguri-Racatau,432067,816116
58393,Manastireni,561782,839683
58464,Margau,429718,849354
58534,Marisel,433462,818809
58552,Mintiu Gherlii,563177,842376
58623,Mociu,431113,852047
58721,Moldovenesti,434857,821502
58794,Palatca,564572,845069
58856,Panticeu,432508,854740
58918,Petrestii De Jos,436252,824195
58990,Ploscos,565967,847762
59041,Poieni,433903,857433
59130,Recea-Cristur,437647,826888
59238,Risca,567362,850455
59283,Sacuieu,435298,860126
59327,Savadisla,439042,829581
59416,Sic,568757,853148
59434,Sancraiu,436693,862819
59498,Sanmartin,440437,832274
59586,Sanpaul,570152,855841
59657,Suatu,438088,865512
59693,Tritenii De Jos,441832,834967
59764,Tureni,571547,858534
59826,Taga,439483,868205
59880,Unguras,443227,837660
59942,Vad,572942,861227
60026,Valea Ierii,440878,870898
60062,Viisoara,444622,840353
60099,Vultureni,574337,863920
60169,Negreni,442273,873591
60419,Municipiul Constanta,446017,843046
60455,Oras Eforie,575732,866613
60482,Municipiul Mangalia,443668,876284
60507,Oras Navodari,447412,845739
60534,Oras Techirghiol,577127,869306
60570,Agigea,445063,878977
60598,23-Aug,448807,848432
60632,Limanu,578522,871999
60687,Oras Ovidiu,446458,881670
60721,Tuzla,450202,851125
60776,Oras Cernavoda,579917,874692
60801,Oras Harsova,447853,884363
60847,Municipiul Medgidia,451597,853818
60883,Adamclisi,581312,877385
60945,Albesti,449248,887056
61005,Aliman,452992,856511
61069,Oras Baneasa,582707,880078
61121,Castelu,450643,889749
61167,Cerchezu,454387,859204
61210,Chirnogeni,584102,882771
61256,Ciobanu,452038,892442
61283,Ciocarlia,455782,861897
61318,Cobadin,585497,885464
61372,Cogealac,453433,895135
61452,Comana,457177,864590
61513,Corbu,586892,888157
61559,Crucea,454828,897828
61620,Cumpana,458572,867283
61675,Deleni,588287,890850
61737,Dobromir,456223,900521
61808,Garliciu,459967,869976
61826,Ghindaresti,589682,893543
61871,Independenta,457618,903214
61951,Ion Corvin,461362,872669
62020,Istria,591077,896236
62057,Lipnita,459013,905907
62137,Mereni,462757,875362
62191,Mihail Kogalniceanu,592472,898929
62253,Mihai Viteazu,460408,908600
62280,Mircea Voda,464152,878055
62360,Oras Murfatlar,593867,901622
62397,Oras Negru Voda,461803,911293
62440,Nicolae Balcescu,465547,880748
62486,Oltina,595262,904315
62538,Ostrov,463198,913986
62609,Pantelimon,466942,883441
62672,Pecineaga,596657,907008
62707,Pestera,464593,916679
62761,Poarta Alba,468337,886134
62798,Rasova,598052,909701
62823,Saraiu,465988,919372
62878,Sacele,469732,888827
62903,Seimeni,599447,912394
62949,Silistea,467383,922065
62985,Targusor,471127,891520
63045,Topalu,600842,915087
63072,Topraisar,468778,924758
63125,Valu Lui Traian,472522,894213
63152,Lumina,602237,917780
63161,Dumbraveni,470173,927451
63170,Vulturu,473917,896906
63189,Tortoman,603632,920473
63198,Amzacea,471568,930144
63278,Horia,475312,899599
63286,Costinesti,605027,923166
63294,Baraganu,472963,932837
63300,Cuza Voda,476707,902292
63318,Saligny,606422,925859
63326,Gradina,474358,935530
63334,Fantanele,478102,904985
63394,Municipiul Sfantu Gheorghe,607817,928552
63447,Oras Baraolt,475753,938223
63526,Oras Covasna,479497,907678
63553,Comandau,609212,931245
63580,Oras Intorsura Buzaului,477148,940916
63633,Barcani,480892,910371
63688,Sita Buzaului,610607,933938
63740,Municipiul Targu Secuiesc,478543,943609
63777,Aita Mare,482287,913064
63802,Batani,612002,936631
63866,Belin,479938,946302
63893,Bodoc,483682,915757
63937,Borosneu Mare,613397,939324
64005,Brates,481333,948995
64041,Bradut,485077,918450
64096,Bretcu,614792,942017
64130,Catalina,482728,951688
64194,Cernat,486472,921143
64238,Chichis,616187,944710
64265,Dobarlau,484123,954381
64318,Ghelinta,487867,923836
64345,Ghidfalau,617582,947403
64390,Haghig,485518,957074
64425,Ilieni,489262,926529
64461,Lemnia,618977,950096
64504,Malnas,486913,959767
64568,Moacsa,490657,929222
64602,Ojdula,620372,952789
64639,Ozun,488308,962460
64719,Poian,492052,931915
64773,Reci,621767,955482
64826,Sanzieni,489703,965153
64871,Turia,493447,934608
64906,Valea Crisului,623162,958175
64942,Valcele,491098,967846
64997,Varghis,494842,937301
65011,Zagon,624557,960868
65048,Zabala,492493,970539
65099,Valea Mare,496237,939994
65105,Mereni,625952,963561
65113,Arcus,493888,973232
65121,Bixad,497632,942687
65139,Micfalau,627347,966254
65147,Dalnic,495283,975925
65154,Estelnic,499027,945380
65342,Municipiul Targoviste,628742,968947
65379,Aninoasa,496678,978618
65413,Doicesti,500422,948073
65431,Razvad,630137,971640
65477,Sotanga,498073,981311
65501,Ulmi,501817,950766
65609,Oras Fieni,631532,974333
65645,Motaieni,499468,984004
65681,Oras Gaesti,503212,953459
65707,Gura Foii,632927,977026
65752,Petresti,500863,986697
65841,Municipiul Moreni,504607,956152
65869,Iedera,634322,979719
65921,Oras Pucioasa,502258,989390
66009,Branesti,506002,958845
66081,Oras Titu,635717,982412
66152,Branistea,503653,992083
66198,Baleni,507397,961538
66223,Barbuletu,637112,985105
66330,Bezdead,505048,994776
66401,Bilciuresti,508792,964231
66438,Buciumeni,638507,987798
66474,Bucsani,506443,997469
66526,Candesti,510187,966924
66580,Cobia,639902,990491
66697,Cojasca,507838,1000162
66731,Comisani,511582,969617
66768,Contesti,641297,993184
66857,Corbii Mari,509233,1002855
66955,Cornatelu,512977,972310
67014,Cornesti,642692,995877
67121,Costestii Din Vale,510628,1005548
67167,Crangurile,514372,975003
67256,Darmanesti,644087,998570
67292,Dobra,512023,1008241
67327,Dragodana,515767,977696
67407,Dragomiresti,645482,1001263
67470,Finta,513418,1010934
67522,Glodeni,517162,980389
67595,Gura Ocnitei,646877,1003956
67648,Gura Sutii,514813,1013627
67675,Hulubesti,518557,983082
67737,I. L. Caragiale,648272,1006649
67773,Lucieni,516208,1016320
67835,Ludesti,519952,985775
67906,Lunguletu,649667,1009342
67942,Malu Cu Flori,517603,1019013
68002,Manesti,521347,988468
68048,Matasaru,651062,1012035
68128,Mogosani,518998,1021706
68182,Moroeni,522742,991161
68253,Morteni,652457,1014728
68280,Nucet,520393,1024399
68324,Ocnita,524137,993854
68342,Odobesti,653852,1017421
68404,Pietrosita,521788,1027092
68431,Poiana,525532,996547
68468,Potlogi,655247,1020114
68529,Produlesti,523183,1029785
68565,Pucheni,526927,999240
68627,Oras Racari,656642,1022807
68716,Runcu,524578,1032478
68789,Salcioara,528322,1001933
68887,Selaru,658037,1025500
68921,Tatarani,525973,1035171
68976,Uliesti,529717,1004626
69063,Valea Lunga,659432,1028193
69170,Valea Mare,527368,1037864
69250,Vacaresti,531112,1007319
69303,Valeni-Dambovita,660827,1030886
69330,Visina,528763,1040557
69394,Visinesti,532507,1010012
69447,Varfuri,662222,1033579
69526,Voinesti,530158,1043250
69615,Vulcana-Bai,533902,1012705
69900,Municipiul Craiova,663617,1036272
69964,Bucovat,531553,1045943
70094,Isalnita,535297,1015398
70110,Podari,665012,1038965
70174,Simnicu De Sus,532948,1048636
70316,Municipiul Bailesti,536692,1018091
70352,Municipiul Calafat,666407,1041658
70414,Oras Filiasi,534343,1051329
70502,Oras Segarcea,538087,1020784
70520,Afumati,667802,1044351
70566,Almaj,535738,1054022
70637,Amarastii De Jos,539482,1023477
70673,Amarastii De Sus,669197,1047044
70726,Apele Vii,537133,1056715
70744,Argetoaia,540877,1026170
70879,Oras Bechet,670592,1049737
70897,Bistret,538528,1059408
70940,Barca,542272,1028863
70968,Botosesti-Paia,671987,1052430
70986,Brabova,539923,1062101
71055,Bradesti,543667,1031556
71126,Bralostita,673382,1055123
71199,Bratovoesti,541318,1064794
71260,Breasta,545062,1034249
71340,Bulzesti,674777,1057816
71457,Calopar,542713,1067487
71518,Caraula,546457,1036942
71536,Carpen,676172,1060509
71572,Castranova,544108,1070180
71607,Calarasi,547852,1039635
71634,Celaru,677567,1063202
71698,Cerat,545503,1072873
71723,Cernatesti,549247,1042328
71787,Cetate,678962,1065895
71812,Cioroiasi,546898,1075566
71858,Ciupercenii Noi,550642,1045021
71885,Cosoveni,680357,1068588
71910,Cotofenii Din Dos,548293,1078259
71956,Daneti,552037,1047714
72007,Oras Dabuleni,681752,1071281
72034,Desa,549688,1080952
72052,Diosti,553432,1050407
72098,Dobresti,683147,1073974
72150,Dragotesti,551083,1083645
72221,Dranic,554827,1053100
72276,Farcas,684542,1076667
72383,Galicea Mare,552478,1086338
72409,Ghercesti,556222,1055793
72463,Gighera,685937,1079360
72506,Giubega,553873,1089031
72533,Giurgita,557617,1058486
72579,Gangiova,687332,1082053
72604,Gogosu,555268,1091724
72640,Goicea,559012,1061179
72677,Goiesti,688727,1084746
72819,Grecesti,556663,1094417
72882,Izvoare,560407,1063872
72926,Leu,690122,1087439
72953,Lipovu,558058,1097110
72980,Macesu De Jos,561802,1066565
73013,Macesu De Sus,691517,1090132
73031,Maglavit,559453,1099803
73068,Malu Mare,563197,1069258
73102,Melinesti,692912,1092825
73246,Mischii,560848,1102496
73317,Marsani,564592,1071951
73335,Motatei,694307,1095518
73371,Murgasi,562243,1105189
73460,Negoi,565987,1074644
73503,Orodel,695702,1098211
73567,Ostroveni,563638,1107882
73594,Perisor,567382,1077337
73629,Pielesti,697097,1100904
73665,Piscu Vechi,565033,1110575
73709,Plenita,568777,1080030
73736,Poiana Mare,698492,1103597
73772,Predesti,566428,1113268
73852,Radovan,570172,1082723
73905,Rast,699887,1106290
73923,Robanesti,567823,1115961
73996,Sadova,571567,1085416
74028,Salcuta,701282,1108983
74073,Scaesti,569218,1118654
74108,Seaca De Camp,572962,1088109
74135,Seaca De Padure,702677,1111676
74171,Secu,570613,1121347
74224,Silistea Crucii,574357,1090802
74242,Sopot,704072,1114369
74322,Teasc,572008,1124040
74359,Terpezita,575752,1093495
74411,Teslui,705467,1117062
74509,Tuglui,573403,1126733
74536,Unirea,577147,1096188
74554,Urzicuta,706862,1119755
74581,Valea Stanciului,574798,1129426
74616,Vela,578542,1098881
74705,Verbita,708257,1122448
74732,Vartop,576193,1132119
74750,Varvoru De Jos,579937,1101574
74842,Catane,709652,1125141
74859,Carcea,577588,1134812
74867,Carna,581332,1104267
74875,Cotofenii Din Fata,711047,1127834
74883,Dobrotesti,578983,1137505
74891,Galiciuica,582727,1106960
74907,Ghidici,712442,1130527
74915,Ghindeni,580378,1140198
74923,Intorsura,584122,1109653
74931,Plesoi,713837,1133220
74949,Rojiste,581773,1142891
74956,Talpas,585517,1112346
75098,Municipiul Galati,715232,1135913
75114,Sendreni,583168,1145584
75150,Vanatori,586912,1115039
75203,Municipiul Tecuci,716627,1138606
75221,Draganesti,584563,1148277
75258,Munteni,588307,1117732
75338,Oras Beresti,718022,1141299
75356,Beresti-Meria,585958,1150970
75472,Oras Targu Bujor,589702,1120425
75515,Barcea,719417,1143992
75542,Balabanesti,587353,1153663
75613,Balasesti,591097,1123118
75668,Baleni,720812,1146685
75686,Baneasa,588748,1156356
75711,Branistea,592492,1125811
75766,Brahasesti,722207,1149378
75819,Buciumeni,590143,1159049
75864,Cavadinesti,593887,1128504
75917,Certesti,723602,1152071
75953,Corod,591538,1161742
76004,Corni,595282,1131197
76040,Cosmesti,724997,1154764
76111,Costache Negri,592933,1164435
76139,Cuca,596677,1133890
76157,Cudalbi,726392,1157457
76175,Draguseni,594328,1167128
76255,Fartanesti,598072,1136583
76282,Foltesti,727787,1160150
76317,Frumusita,595723,1169821
76353,Fundeni,599467,1139276
76406,Ghidigeni,729182,1162843
76497,Gohor,597118,1172514
76558,Grivita,600862,1141969
76585,Independenta,730577,1165536
76601,Ivesti,598513,1175207
76638,Jorasti,602257,1144662
76674,Liesti,731972,1168229
76692,Matca,599908,1177900
76718,Mastacani,603652,1147355
76745,Movileni,733367,1170922
76763,Namoloasa,601303,1180593
76807,Nicoresti,605047,1150048
76932,Oancea,734762,1173615
76969,Pechea,602698,1183286
76996,Piscu,606442,1152741
77028,Priponesti,736157,1176308
77082,Rediu,604093,1185979
77126,Scanteiesti,607837,1155434
77153,Schela,737552,1179001
77180,Slobozia Conachi,605488,1188672
77224,Smardan,609232,1158127
77260,Smulti,738947,1181694
77288,Suceveni,606883,1191365
77313,Tudor Vladimirescu,610627,1160820
77331,Tulucesti,740342,1184387
77377,Tepu,608278,1194058
77402,Umbraresti,612022,1163513
77475,Valea Marului,741737,1187080
77509,Varlezi,609673,1196751
77536,Vladesti,613417,1166206
77561,Radesti,743132,1189773
77579,Negrilesti,611068,1199444
77587,Poiana,614812,1168899
77595,Cuza Voda,744527,1192466
77601,Suhurlui,612463,1202137
77812,Municipiul Targu Jiu,616207,1171592
77910,Balesti,745922,1195159
78016,Dragutesti,613858,1204830
78089,Turcinesti,617602,1174285
78141,Municipiul Motru,747317,1197852
78258,Oras Novaci,615253,1207523
78329,Oras Targu Carbunesti,618997,1176978
78454,Oras Ticleni,748712,1200545
78472,Albeni,616648,1210216
78542,Alimpesti,620392,1179671
78604,Aninoasa,750107,1203238
78668,Arcani,618043,1212909
78711,Baia De Fier,621787,1182364
78748,Balanesti,751502,1205931
78828,Barbatesti,619438,1215602
78873,Bengesti-Ciocadia,623182,1185057
78926,Berlesti,752897,1208624
79004,Balteni,620833,1218295
79077,Bolbosi,624577,1187750
79157,Borascu,754292,1211317
79237,Branesti,622228,1220988
79308,Oras Bumbesti-Jiu,625972,1190443
79362,Bumbesti-Pitic,755687,1214010
79406,Bustuchin,623623,1223681
79497,Capreni,627367,1193136
79585,Catunele,757082,1216703
79656,Ciuperceni,625018,1226374
79736,Calnic,628762,1195829
79834,Crasna,758477,1219396
79932,Cruset,626413,1229067
80043,Danciulesti,630157,1198522
80123,Danesti,759872,1222089
80249,Dragotesti,627808,1231760
80285,Farcasesti,631552,1201215
80365,Glogova,761267,1224782
80427,Godinesti,629203,1234453
80506,Hurezani,632947,1203908
80560,Ionesti,762662,1227475
80613,Jupanesti,630598,1237146
80677,Lelesti,634342,1206601
80711,Licurici,764057,1230168
80766,Logresti,631993,1239839
80846,Matasari,635737,1209294
80908,Musetesti,765452,1232861
80980,Negomir,633388,1242532
81095,Pades,637132,1211987
81184,Pestisani,766847,1235554
81264,Plopsoru,634783,1245225
81380,Polovragi,638527,1214680
81415,Prigoria,768242,1238247
81497,Rosia De Amaradia,636178,1247918
81576,Runcu,639922,1217373
81656,Samarinesti,769637,1240940
81754,Sacelu,637573,1250611
81816,Saulesti,641317,1220066
81861,Scoarta,771032,1243633
81987,Schela,638968,1253304
82047,Slivilesti,642712,1222759
82136,Stanesti,772427,1246326
82243,Stejari,640363,1255997
82314,Stoina,644107,1225452
82396,Telesti,773822,1249019
82430,Oras Tismana,641758,1258690
82555,Turburea,645502,1228145
82617,Oras Turceni,775217,1251712
82680,Tantareni,643153,1261383
82733,Urdari,646897,1230838
82779,Vagiulesti,776612,1254405
82831,Vladimir,644548,1264076
82895,Oras Rovinari,648292,1233531
83133,Municipiul Odorheiu Secuiesc,778007,1257098
83151,Bradesti,645943,1266769
83197,Feliceni,649687,1236224
83320,Municipiul Miercurea Ciuc,779402,1259791
83375,Pauleni-Ciuc,647338,1269462
83428,Oras Baile Tusnad,651082,1238917
83464,Oras Balan,780797,1262484
83491,Oras Borsec,648733,1272155
83525,Oras Cristuru Secuiesc,652477,1241610
83561,Municipiul Gheorgheni,782192,1265177
83632,Municipiul Toplita,650128,1274848
83749,Oras Vlahita,653872,1244303
83785,Atid,783587,1267870
83847,Avramesti,651523,1277541
83936,Bilbor,655267,1246996
83963,Capalnita,784982,1270563
83981,Ciucsangeorgiu,652918,1280234
84086,Ciumani,656662,1249689
84102,Carta,786377,1273256
84148,Corbu,654313,1282927
84175,Corund,658057,1252382
84237,Danesti,787772,1275949
84264,Dealu,655708,1285620
84344,Ditrau,659452,1255075
84380,Darjiu,789167,1278642
84415,Frumoasa,657103,1288313
84460,Galautas,660847,1257768
84558,Joseni,790562,1281335
84594,Lazarea,658498,1291006
84629,Lueta,662242,1260461
84656,Lunca De Jos,791957,1284028
84754,Lunca De Sus,659893,1293699
84825,Lupeni,663637,1263154
84923,Martinis,793352,1286721
85056,Meresti,661288,1296392
85074,Mihaileni,665032,1265847
85127,Mugeni,794747,1289414
85243,Ocland,662683,1299085
85289,Plaiesii De Jos,666427,1268540
85341,Praid,796142,1292107
85412,Remetea,664078,1301778
85467,Sacel,667822,1271233
85528,Sarmas,797537,1294800
85582,Secuieni,665473,1304471
85626,Siculeni,669217,1273926
85680,Sancraieni,798932,1297493
85760,Sandominic,666868,1307164
85788,Sanmartin,670612,1276619
85840,Sansimion,800327,1300186
85877,Subcetate,668263,1309857
85920,Suseni,672007,1279312
85984,Simonesti,801722,1302879
86133,Tulghes,669658,1312550
86188,Tusnad,673402,1282005
86222,Ulies,803117,1305572
86311,Varsag,671053,1315243
86339,Voslabeni,674797,1284698
86366,Zetea,804512,1308265
86438,Madaras,672448,1317936
86446,Cozmeni,676192,1287391
86453,Tomesti,805907,1310958
86461,Ciceu,673843,1320629
86479,Leliceni,677587,1290084
86487,Porumbeni,807302,1313651
86495,Racu,675238,1323322
86501,Satu Mare,678982,1292777
86519,Santimbru,808697,1316344
86687,Municipiul Deva,676633,1326015
86749,Carjiti,680377,1295470
86810,Municipiul Hunedoara,810092,1319037
86883,Ghelari,678028,1328708
86936,Teliucu Inferior,681772,1298163
86990,Municipiul Petrosani,811487,1321730
87059,Municipiul Lupeni,679423,1331401
87077,Oras Petrila,683167,1300856
87139,Oras Uricani,812882,1324423
87175,Municipiul Vulcan,680818,1334094
87219,Oras Aninoasa,684562,1303549
87246,Banita,814277,1327116
87291,Municipiul Brad,682213,1336787
87362,Criscior,685957,1306242
87424,Oras Calan,815672,1329809
87576,Oras Hateg,683608,1339480
87638,Municipiul Orastie,687352,1308935
87665,Oras Simeria,817067,1332502
87745,Baia De Cris,685003,1342173
87843,Balsa,688747,1311628
87996,Baru,818462,1335195
88047,Bacia,686398,1344866
88092,Baita,690142,1314321
88216,Batrana,819857,1337888
88261,Beriu,687793,1347559
88350,Blajeni,691537,1317014
88449,Bosorod,821252,1340581
88546,Branisca,689188,1350252
88644,Bretea Romana,692932,1319707
88788,Buces,822647,1343274
88868,Bucuresci,690583,1352945
88920,Bulzestii De Sus,694327,1322400
89026,Bunila,824042,1345967
89080,Burjuc,691978,1355638
89151,Cerbal,695722,1325093
89240,Certeju De Sus,825437,1348660
89348,Densus,693373,1358331
89428,Dobra,697117,1327786
89561,Oras Geoagiu,826832,1351353
89687,Gurasada,694768,1361024
89801,Harau,698512,1330479
89856,Ilia,828227,1354046
89954,Lapugiu De Jos,696163,1363717
90066,Lelese,699907,1333172
90119,Lunca Cernii De Jos,829622,1356739
90208,Luncoiu De Jos,697558,1366410
90262,Martinesti,701302,1335865
90342,Orastioara De Sus,831017,1359432
90431,Pestisu Mic,698953,1369103
90538,Pui,702697,1338558
90663,Rapoltu Mare,832412,1362125
90725,Rachitova,700348,1371796
90805,Ribita,704092,1341251
90878,Rau De Mori,833807,1364818
90994,Romos,701743,1374489
91054,Sarmizegetusa,705487,1343944
91116,Salasu De Sus,835202,1367511
91232,Santamaria-Orlea,703138,1377182
91330,Soimus,706882,1346637
91447,Tomesti,836597,1370204
91535,Toplita,704533,1379875
91624,Totesti,708277,1349330
91688,Turdas,837992,1372897
91731,General Berthelot,705928,1382568
91795,Vata De Jos,709672,1352023
91937,Valisoara,839387,1375590
91982,Vetel,707323,1385261
92097,Vorta,711067,1354716
92177,Zam,840782,1378283
92569,Municipiul Calarasi,708718,1387954
92587,Modelu,712462,1357409
92658,Municipiul Slobozia,842177,1380976
92701,Municipiul Fetesti,710113,1390647
92765,Oras Tandarei,713857,1360102
92783,Albesti,843572,1383669
92836,Oras Amara,711508,1393340
92872,Andrasesti,715252,1362795
92907,Balaciu,844967,1386362
92961,Borcea,712903,1396033
92989,Bordusani,716647,1365488
93021,Bucu,846362,1389055
93067,Oras Cazanesti,714298,1398726
93085,Ciocanesti,718042,1368181
93101,Ciochina,847757,1391748
93156,Ciulnita,715693,1401419
93209,Cocora,719437,1370874
93236,Cosambesti,849152,1394441
93281,Cuza Voda,717088,1404112
93325,Dichiseni,720832,1373567
93370,Dor Marunt,850547,1397134
93441,Dorobantu,718483,1406805
93487,Dragalina,722227,1376260
93539,Dragos Voda,851942,1399827
93575,Facaeni,719878,1409498
93600,Gheorghe Doja,723622,1378953
93628,Gheorghe Lazar,853337,1402520
93646,Giurgeni,721273,1412191
93664,Gradistea,725017,1381646
93717,Grindu,854732,1405213
93735,Grivita,722668,1414884
93771,Independenta,726412,1384339
93815,Jegalia,856127,1407906
93851,Lehliu,724063,1417577
93888,Oras Lehliu Gara,727807,1387032
93931,Lupsanu,857522,1410599
93995,Mihail Kogalniceanu,725458,1420270
94045,Milosesti,729202,1389725
94081,Movila,858917,1413292
94107,Munteni-Buzau,726853,1422963
94125,Alexandru Odobescu,730597,1392418
94161,Perieti,860312,1415985
94223,Perisoru,728248,1425656
94269,Reviga,731992,1395111
94312,Roseti,861707,1418678
94330,Salcioara,729643,1428349
94376,Saveni,733387,1397804
94429,Scanteia,863102,1421371
94456,Sfantu Gheorghe,731038,1431042
94492,Stelnica,734782,1400497
94535,Suditi,864497,1424064
94562,Stefan Cel Mare,732433,1433735
94580,Stefan Voda,736177,1403190
94606,Ulmu,865892,1426757
94651,Unirea,733828,1436428
94688,Valea Ciorii,737572,1405883
94731,Valcelele,867287,1429450
94768,Vlad Tepes,735223,1439121
94795,Vladeni,738967,1408576
95060,Municipiul Iasi,868682,1432143
95088,Barnova,736618,1441814
95159,Holboca,740362,1411269
95239,Rediu,870077,1434836
95293,Tomesti,738013,1444507
95355,Oras Harlau,741757,1413962
95391,Municipiul Pascani,871472,1437529
95471,Oras Targu Frumos,739408,1447200
95499,Ion Neculce,743152,1416655
95612,Alexandru I. Cuza,872867,1440222
95667,Andrieseni,740803,1449893
95747,Aroneanu,744547,1419348
95792,Baltati,874262,1442915
95872,Belcesti,742198,1452586
95943,Bivolari,745942,1422041
96003,Ungheni,875657,1445608
96058,Braesti,743593,1455279
96110,Butea,747337,1424734
96147,Ceplenita,877052,1448301
96192,Ciortesti,744988,1457972
96254,Ciurea,748732,1427427
96334,Coarnele Caprei,878447,1450994
96370,Comarna,746383,1460665
96423,Costuleni,750127,1430120
96478,Cotnari,879842,1453687
96593,Cozmesti,747778,1463358
96637,Cristesti,751522,1432813
96664,Cucuteni,881237,1456380
96717,Dagata,749173,1466051
96815,Deleni,752917,1435506
96888,Dobrovat,882632,1459073
96904,Dolhesti,750568,1468744
96940,Dumesti,754312,1438199
97009,Erbiceni,884027,1461766
97063,Focuri,751963,1471437
97090,Golaiesti,755707,1440892
97189,Gorban,885422,1464459
97241,Grajduri,753358,1474130
97321,Gropnita,757102,1443585
97394,Grozesti,886817,1467152
97438,Halaucesti,754753,1476823
97465,Helesteni,758497,1446278
97517,Horlesti,888212,1469845
97553,Ipatele,756148,1479516
97606,Lespezi,759892,1448971
97679,Letcani,889607,1472538
97722,Lungani,757543,1482209
97777,Madarjac,761287,1451664
97811,Mircesti,891002,1475231
97875,Mironeasa,758938,1484902
97919,Miroslava,762682,1454357
98051,Miroslovesti,892397,1477924
98113,Mogosesti,760333,1487595
98168,Mogosesti-Siret,764077,1457050
98202,Mosna,893792,1480617
98220,Motca,761728,1490288
98257,Movileni,765472,1459743
98300,Oteleni,895187,1483310
98337,Plugari,763123,1492981
98373,Oras Podu Iloaiei,766867,1462436
98435,Popesti,896582,1486003
98505,Popricani,764518,1495674
98603,Prisacani,768262,1465129
98649,Probota,897977,1488696
98685,Raducaneni,765913,1498367
98738,Romanesti,769657,1467822
98774,Ruginoasa,899372,1491389
98827,Schitu Duca,767308,1501060
98916,Scanteia,771052,1470515
98998,Scobinti,900767,1494082
99058,Sinesti,768703,1503753
99101,Siretel,772447,1473208
99165,Stolniceni-Prajescu,902162,1496775
99209,Strunga,770098,1506446
99290,Scheia,773842,1475901
99370,Sipote,903557,1499468
99441,Tansa,771493,1509139
99478,Tatarusi,775237,1478594
99539,Todiresti,904952,1502161
99600,Trifesti,772888,1511832
99673,Tibana,776632,1481287
99780,Tibanesti,906347,1504854
99879,Tiganasi,774283,1514525
99922,Tutora,778027,1483980
99968,Valea Seaca,907742,1507547
100004,Victoria,775678,1517218
100086,Vanatori,779422,1486673
100148,Vladeni,909137,1510240
100219,Voinesti,777073,1519911
100273,Bals,780817,1489366
100282,Costesti,910532,1512933
100308,Draguseni,778468,1522604
100317,Fantanele,782212,1492059
100326,Harmanesti,911927,1515626
100335,Rachiteni,779863,1525297
100344,Roscani,783607,1494752
100353,Valea Lupului,913322,1518319
100362,Ciohorani,781258,1527990
100521,Municipiul Giurgiu,785002,1497445
100549,Slobozia,914717,1521012
100576,Oras Buftea,782653,1530683
100610,Municipiul Oltenita,786397,1500138
100638,Mitreni,916112,1523705
100683,Municipiul Urziceni,784048,1533376
100709,Ciocarlia,787792,1502831
100736,Manasia,917507,1526398
100754,Adancata,785443,1536069
100781,Adunatii-Copaceni,789187,1505524
100834,Afumati,918902,1529091
100852,Alexeni,786838,1538762
100870,Armasesti,790582,1508217
100923,Axintele,920297,1531784
100969,Balotesti,788233,1541455
101001,Baneasa,791977,1510910
101056,Barcanesti,921692,1534477
101083,Belciugatele,789628,1544148
101145,Berceni,793372,1513603
101163,Bolintin-Deal,923087,1537170
101190,Oras Bolintin-Vale,791023,1546841
101243,Brazii,794767,1516296
101298,Branesti,924482,1539863
101341,Brezoaele,792418,1549534
101378,Bucsani,796162,1518989
101458,Oras Budesti,925877,1542556
101519,Bulbucata,793813,1552227
101564,Butimanu,797557,1521682
101617,Buturugeni,927272,1545249
101662,Calugareni,795208,1554920
101724,Cascioarele,798952,1524375
101742,Cernica,928667,1547942
101804,Chirnogi,796603,1557613
101822,Chiselet,800347,1527068
101840,Ciocanesti,930062,1550635
101902,Ciolpani,797998,1560306
101957,Ciorogarla,801742,1529761
101984,Clejani,931457,1553328
102035,Clinceni,799393,1562999
102071,Colibasi,803137,1532454
102106,Comana,932852,1556021
102160,Corbeanca,800788,1565692
102213,Cornetu,804532,1535147
102240,Cosereni,934247,1558714
102286,Crevedia,802183,1568385
102348,Crevedia Mare,805927,1537840
102419,Curcani,935642,1561407
102446,Daia,803578,1571078
102473,Dascalu,807322,1540533
102525,Darasti-Ilfov,937037,1564100
102543,1 Decembrie,804973,1573771
102570,Domnesti,808717,1543226
102605,Dragomiresti-Vale,938432,1566793
102641,Dragoesti,806368,1576464
102703,Dridu,810112,1545919
102749,Oras Fierbinti-Targ,939827,1569486
102794,Floresti-Stoenesti,807763,1579157
102838,Frasinet,811507,1548612
102909,Fratesti,941222,1572179
102945,Frumusani,809158,1581850
103014,Fundeni,812902,1551305
103032,Oras Fundulea,942617,1574872
103087,Gaiseni,810553,1584543
103130,Ganeasa,814297,1553998
103194,Gaujani,944012,1577565
103238,Ghimpati,811948,1587236
103283,Garbovi,815692,1556691
103309,Gogosari,945407,1580258
103354,Gostinu,813343,1589929
103372,Gostinari,817087,1559384
103407,Gradinari,946802,1582951
103443,Gradistea,814738,1592622
103470,Greaca,818482,1562077
103513,Gruiu,948197,1585644
103568,Gurbanesti,816133,1595315
103639,Hotarele,819877,1564770
103693,Iepuresti,949592,1588337
103764,Ileana,817528,1598008
103862,Ion Roata,821272,1567463
103899,Izvoarele,950987,1591030
103960,Jilavele,818923,1600701
103997,Joita,822667,1570156
104047,Letca Noua,952382,1593723
